System,Inverter_flag,Panel_type,failure_event,Time_in_months
544,0,0,1,51
545,0,1,1,24
546,1,1,1,50
547,1,0,0,61
548,1,0,1,71
549,1,1,0,56
550,0,0,1,56
551,0,0,1,48
552,1,0,1,78
553,0,1,1,21
554,1,1,0,29
555,1,0,0,69
556,0,0,1,59
557,0,1,1,20
558,1,1,0,82
559,0,1,1,34
560,1,0,0,29
561,0,1,0,59
562,1,0,0,42
563,1,1,0,23
564,0,0,1,57
565,0,0,1,57
566,1,0,0,46
567,0,1,1,18
568,1,1,1,50
569,0,1,1,18
570,1,0,0,57
571,1,1,0,24
572,1,1,0,27
573,1,0,0,61
574,1,0,0,29
575,0,0,1,48
576,1,0,0,47
577,0,1,1,23
578,0,1,1,20
579,1,0,0,62
580,1,0,1,71
581,0,1,1,30
582,0,0,1,44
583,0,0,1,48
584,0,1,1,104
585,1,1,0,75
586,1,1,0,49
587,1,0,1,76
588,1,1,0,58
589,0,0,1,58
590,1,0,0,44
591,0,0,1,48
592,0,0,1,45
593,1,1,0,15
594,0,0,1,51
595,0,1,1,25
596,1,0,0,51
597,1,0,0,62
598,1,0,1,72
599,1,1,0,15
600,1,1,1,113
601,0,0,1,48
602,1,0,1,79
603,1,0,0,22
604,1,1,0,50
605,1,0,0,70
606,0,1,0,120
607,0,1,1,21
608,1,1,0,59
609,1,0,0,35
610,0,1,1,30
611,1,0,0,60
612,1,0,0,43
613,1,1,0,40
614,0,0,1,57
615,0,0,1,58
616,1,0,0,47
617,0,1,1,19
618,1,0,0,51
619,0,1,1,19
620,1,0,0,58
621,1,1,0,50
622,1,1,0,47
623,1,0,0,62
624,0,1,1,30
625,0,0,1,49
626,1,0,0,48
627,0,1,1,24
628,0,1,1,21
629,1,0,0,63
630,1,0,1,72
631,0,1,1,31
632,0,0,1,44
633,0,0,1,48
634,0,0,1,52
635,1,1,0,63
636,1,1,0,54
637,0,1,1,77
638,1,1,0,75
639,0,0,1,58
640,1,0,0,45
641,0,0,1,49
642,0,0,1,45
643,1,1,0,37
644,0,1,1,104
645,0,1,1,26
646,1,0,0,52
647,1,0,0,63
648,1,0,1,73
649,1,1,0,90
650,0,0,1,57
651,0,0,1,49
652,0,0,1,80
653,0,1,1,23
654,1,1,0,53
655,1,0,1,71
656,1,1,0,33
657,1,0,0,22
658,1,1,1,100
659,1,0,0,36
660,0,1,1,31
661,1,0,0,61
662,1,0,0,44
663,1,1,0,30
664,0,0,1,58
665,0,0,1,58
666,1,0,0,48
667,0,1,1,20
668,1,0,0,52
669,0,1,1,20
670,0,1,0,59
671,1,1,0,0
672,1,1,0,77
673,1,0,0,63
674,0,1,1,31
675,0,1,1,99
676,1,0,0,49
677,0,1,1,25
678,1,0,0,22
679,1,0,0,64
680,1,0,1,73
681,0,1,1,32
682,0,0,1,45
683,0,0,1,49
684,0,1,1,106
685,1,1,0,93
686,1,1,0,42
687,1,0,1,78
688,1,1,0,60
689,0,0,1,59
690,1,0,0,46
691,0,1,1,99
692,0,1,1,92
693,1,1,0,51
694,0,0,1,52
695,0,1,1,27
696,1,0,0,53
697,1,0,0,64
698,1,0,1,74
699,1,1,0,15
700,0,0,1,57
701,0,1,1,99
702,0,0,1,40
703,0,1,1,24
704,0,1,0,120
705,1,0,1,72
706,1,1,1,105
707,0,1,1,23
708,0,1,0,120
709,1,0,0,37
710,0,1,1,32
711,1,0,0,62
712,1,0,0,45
713,0,1,0,120
714,0,0,1,58
715,0,0,1,59
716,1,0,0,49
717,0,1,1,21
718,1,0,0,53
719,0,1,1,21
720,1,0,0,60
721,0,1,0,120
722,0,1,0,120
723,1,0,0,64
724,0,1,1,32
725,0,0,1,50
726,1,1,1,50
727,0,1,1,26
728,0,1,1,23
729,1,0,0,65
730,1,0,1,74
731,0,1,1,33
732,0,0,1,45
733,0,1,1,99
734,0,0,1,53
735,0,1,0,120
736,0,1,0,120
737,1,0,1,79
738,0,1,0,120
739,0,0,1,59
740,1,0,0,47
741,0,0,1,50
742,0,0,1,46
743,0,1,0,120
744,0,1,1,106
745,0,1,1,28
746,1,0,0,54
747,1,0,0,65
748,1,0,1,75
749,0,1,0,120
750,0,0,1,58
751,0,0,1,50
752,0,0,1,41
753,0,1,1,25
754,1,1,0,29
755,1,0,1,73
756,1,1,0,57
757,0,1,1,24
758,1,1,0,5
759,1,0,0,38
760,0,1,1,33
761,1,0,0,63
762,1,0,0,46
763,1,1,0,27
764,0,0,1,59
765,0,0,1,59
766,1,1,1,50
767,1,0,0,22
768,1,0,0,54
769,1,0,0,22
770,1,0,0,61
771,1,1,0,50
772,1,1,0,43
773,1,0,0,65
774,0,1,1,33
775,0,0,1,50
776,1,0,0,51
777,0,1,1,27
778,0,1,1,24
779,1,0,0,66
780,1,0,1,75
781,0,1,1,34
782,0,1,1,92
783,0,0,1,50
784,0,0,1,54
785,1,1,0,31
786,1,1,1,109
787,0,0,1,80
788,1,1,0,88
789,0,1,0,120
790,1,0,0,48
791,0,0,1,50
792,0,0,0,94
793,1,1,0,61
794,0,0,1,53
795,1,0,0,29
796,1,0,0,55
797,1,0,0,66
798,1,0,1,76
799,1,1,0,83
800,0,0,1,58
801,0,0,1,50
802,0,0,1,41
803,0,1,1,26
804,1,1,1,104
805,1,0,1,74
806,1,1,0,22
807,0,1,1,25
808,1,1,0,84
809,1,0,0,39
810,0,1,1,34
811,1,0,0,64
812,1,0,0,47
813,1,1,0,23
814,0,0,1,59
815,0,1,0,120
816,1,0,0,51
817,0,1,1,23
818,1,0,0,55
819,0,1,1,23
820,1,0,0,62
821,1,1,0,93
822,1,1,0,12
823,1,0,0,66
824,0,1,1,34
825,0,0,1,51
826,1,0,0,52
827,0,1,1,28
828,0,1,1,25
829,1,0,0,67
830,1,0,1,76
831,1,0,0,35
832,0,0,1,46
833,0,0,1,50
834,0,0,0,109
835,1,1,0,79
836,1,1,0,13
837,0,0,1,40
838,1,1,1,117
839,1,1,0,72
840,1,0,0,49
841,0,0,1,51
842,0,1,1,95
843,1,1,0,30
844,0,0,1,54
845,0,1,1,30
846,1,0,0,56
847,1,0,0,67
848,0,1,1,77
849,1,1,1,112
850,0,0,1,59
851,0,0,1,51
852,0,0,1,42
853,0,1,1,27
854,1,1,0,5
855,1,0,1,75
856,1,1,0,62
857,0,1,1,26
858,1,1,0,64
859,1,0,0,40
860,1,0,0,35
861,1,0,0,65
862,1,0,0,48
863,1,1,0,34
864,0,1,0,120
865,1,1,0,60
866,1,0,0,52
867,0,1,1,24
868,1,0,0,56
869,0,1,1,24
870,1,0,0,63
871,1,1,0,64
872,1,1,0,92
873,1,0,0,67
874,1,0,0,35
875,0,0,1,51
876,1,0,0,53
877,1,0,0,29
878,0,1,1,26
879,0,1,1,68
880,0,1,1,77
881,1,0,0,36
882,0,0,0,94
883,0,0,1,51
884,0,0,1,55
885,1,1,0,56
886,1,1,1,104
887,0,0,1,41
888,1,1,1,117
889,1,1,0,53
890,1,1,1,50
891,0,0,1,51
892,0,0,1,48
893,1,1,1,117
894,0,0,0,109
895,0,1,1,31
896,1,0,0,57
897,0,1,1,68
898,1,0,1,78
899,1,1,0,74
900,0,0,1,59
901,0,0,1,51
902,1,0,1,85
903,0,1,1,28
904,1,1,0,70
905,1,0,1,76
906,1,1,0,15
907,0,1,1,27
908,1,1,0,13
909,0,1,1,41
910,1,0,0,36
911,1,0,0,66
912,1,0,0,49
913,1,1,0,15
914,1,1,0,30
915,1,1,0,56
916,1,0,0,53
917,0,1,1,25
918,1,0,0,57
919,0,1,1,25
920,1,0,0,64
921,1,1,0,41
922,1,1,0,20
923,0,1,1,68
924,1,0,0,36
925,0,1,1,104
926,1,0,0,54
927,0,1,1,30
928,0,1,1,27
929,1,0,0,69
930,1,0,1,78
931,1,0,0,37
932,0,1,1,95
933,0,0,1,51
934,0,0,1,55
935,1,1,0,16
936,1,1,0,90
937,0,0,1,41
938,1,1,0,64
939,1,1,0,20
940,1,0,0,51
941,0,1,1,104
942,0,0,1,48
943,1,1,0,60
944,0,0,1,55
945,0,1,1,32
946,1,0,0,58
947,1,0,0,69
948,1,0,1,79
949,1,1,0,69
950,0,1,0,120
951,0,1,1,104
952,0,1,1,86
953,1,0,0,29
954,1,1,0,60
955,0,1,1,77
956,0,1,0,120
957,0,1,1,28
958,1,1,1,115
959,1,0,0,42
960,1,0,0,37
961,1,0,0,67
962,1,1,1,50
963,1,1,0,89
964,1,1,0,2
965,1,1,1,97
966,1,0,0,54
967,0,1,1,26
968,1,0,0,58
969,0,1,1,26
970,1,0,0,65
971,1,1,1,109
972,1,1,0,74
973,1,0,0,69
974,1,0,0,37
975,0,0,1,52
976,1,0,0,55
977,0,1,1,31
978,0,1,1,28
979,1,0,0,70
980,1,0,1,79
981,1,0,0,38
982,0,0,1,48
983,0,1,1,104
984,0,0,1,56
985,1,1,0,71
986,1,1,0,48
987,0,0,1,42
988,1,1,1,107
989,1,1,0,60
990,1,0,0,52
991,0,0,1,52
992,0,0,1,49
993,1,1,0,72
994,0,0,1,55
995,0,1,1,33
996,0,1,0,59
997,1,0,0,70
998,0,0,1,80
999,1,1,0,24
1000,1,1,0,85
1001,0,0,1,52
1002,0,0,1,43
1003,0,1,1,30
1004,1,1,0,7
1005,1,0,1,78
1006,1,1,0,11
1007,1,0,0,29
1008,1,1,0,9
1009,1,0,0,43
1010,1,0,0,38
1011,0,1,1,68
1012,1,0,0,51
1013,1,1,1,104
1014,1,1,0,2
1015,1,1,0,3
1016,1,0,0,55
1017,0,1,1,27
1018,0,1,0,59
1019,0,1,1,27
1020,1,0,0,66
1021,1,1,0,32
1022,1,1,0,31
1023,1,0,0,70
1024,1,0,0,38
1025,0,1,1,106
1026,1,0,0,56
1027,0,1,1,32
1028,1,0,0,29
1029,1,0,1,71
1030,0,0,1,80
1031,1,0,0,39
1032,0,0,1,48
1033,0,0,1,52
1034,1,1,1,113
1035,1,1,0,15
1036,1,1,0,13
1037,1,0,1,85
1038,1,1,0,34
1039,1,1,0,30
1040,1,0,0,53
1041,0,1,1,106
1042,0,1,1,99
1043,1,1,1,110
1044,0,0,1,56
1045,0,1,1,34
1046,1,0,0,60
1047,1,0,1,71
1048,0,0,1,40
1049,1,1,1,105
1050,1,1,0,33
1051,0,1,1,106
1052,0,0,1,44
1053,0,1,1,31
1054,0,1,0,120
1055,1,0,1,79
1056,1,1,0,96
1057,0,1,1,30
1058,0,1,0,120
1059,1,0,0,44
1060,1,0,0,39
1061,1,0,0,69
1062,1,0,0,52
1063,0,1,0,120
1064,1,1,1,118
1065,1,1,1,117
1066,1,0,0,56
1067,0,1,1,28
1068,1,0,0,60
1069,0,1,1,28
1070,1,0,0,67
1071,0,1,0,120
1072,0,1,0,120
1073,1,0,1,71
1074,1,0,0,39
1075,0,0,1,53
1076,1,0,0,57
1077,0,1,1,33
1078,0,1,1,30
1079,1,0,1,72
1080,0,0,1,40
1081,1,0,0,40
1082,0,0,1,49
1083,0,1,1,106
1084,0,0,1,57
1085,0,1,0,120
1086,0,1,0,120
1087,0,1,1,86
1088,0,1,0,120
1089,1,1,1,112
1090,1,0,0,54
1091,0,0,1,53
1092,0,0,1,50
1093,0,1,0,120
1094,1,1,1,113
1095,1,0,0,35
1096,1,0,0,61
1097,1,0,1,72
1098,0,0,1,41
1099,0,1,0,120
1100,1,1,0,80
1101,0,0,1,53
1102,0,0,1,44
1103,0,1,1,32
1104,1,1,0,34
1105,0,0,1,80
1106,1,1,0,88
1107,0,1,1,31
1108,1,1,1,98
1109,1,0,0,45
1110,1,0,0,40
1111,1,0,0,70
1112,1,0,0,53
1113,1,1,0,66
1114,1,1,0,57
1115,1,1,1,114
1116,1,0,0,57
1117,1,0,0,29
1118,1,0,0,61
1119,1,0,0,29
1120,0,1,1,68
1121,1,1,0,26
1122,1,1,0,70
1123,1,0,1,72
1124,1,0,0,40
1125,0,0,1,54
1126,1,0,0,58
1127,0,1,1,34
1128,0,1,1,31
1129,1,0,1,73
1130,0,0,1,41
1131,0,1,1,41
1132,0,1,1,99
1133,0,0,1,53
1134,0,0,1,57
1135,1,1,1,101
1136,1,1,1,115
1137,0,0,1,43
1138,1,1,0,40
1139,0,1,0,120
1140,1,0,0,55
1141,0,0,1,54
1142,0,0,1,50
1143,1,1,0,45
1144,0,0,1,57
1145,1,0,0,36
1146,1,0,0,62
1147,1,0,1,73
1148,0,0,1,41
1149,1,1,0,46
1150,1,1,1,104
1151,0,0,1,54
1152,0,0,1,45
1153,0,1,1,33
1154,1,1,1,104
1155,0,0,1,40
1156,1,1,0,48
1157,0,1,1,32
1158,1,1,0,47
1159,1,0,0,46
1160,0,1,1,41
1161,1,0,1,71
1162,1,0,0,54
1163,1,1,0,57
1164,1,1,0,87
1165,0,1,0,120
1166,1,0,0,58
1167,0,1,1,30
1168,1,0,0,62
1169,0,1,1,30
1170,1,0,0,69
1171,1,1,0,47
1172,1,1,0,11
1173,1,0,1,73
1174,0,1,1,41
1175,0,0,0,109
1176,0,1,0,59
1177,1,0,0,35
1178,0,1,1,32
1179,1,0,1,74
1180,0,0,1,41
1181,1,0,0,42
1182,0,0,1,50
1183,0,0,1,54
1184,0,0,1,58
1185,1,1,0,47
1186,1,1,0,79
1187,0,0,1,44
1188,1,1,0,28
1189,1,1,0,9
1190,1,0,0,56
1191,0,0,0,109
1192,0,0,1,51
1193,1,1,0,6
1194,0,0,1,57
1195,1,0,0,37
1196,1,0,0,63
1197,1,0,1,74
1198,0,0,1,42
1199,1,1,0,13
1200,1,1,0,52
1201,0,0,0,109
1202,0,0,1,45
1203,0,1,1,34
1204,1,1,0,65
1205,0,0,1,41
1206,1,1,0,35
1207,0,1,1,33
1208,1,1,0,92
1209,1,0,0,47
1210,1,0,0,42
1211,1,0,1,72
1212,1,0,0,55
1213,1,1,1,106
1214,0,1,0,120
1215,1,1,0,33
1216,0,1,0,59
1217,0,1,1,31
1218,1,0,0,63
1219,0,1,1,31
1220,1,0,0,70
1221,1,1,1,119
1222,1,1,1,106
1223,1,0,1,74
1224,1,0,0,42
1225,0,0,1,55
1226,1,0,0,60
1227,1,0,0,36
1228,0,1,1,33
1229,1,0,1,75
1230,0,0,1,42
1231,1,0,0,43
1232,0,0,1,50
1233,0,0,0,109
1234,0,0,1,58
1235,1,1,0,47
1236,1,1,0,73
1237,0,0,1,44
1238,1,1,1,108
1239,1,1,1,113
1240,1,0,0,57
1241,0,0,1,55
1242,0,0,1,51
1243,1,1,1,105
1244,0,0,1,58
1245,1,0,0,38
1246,1,0,0,64
1247,1,0,1,75
1248,1,0,1,85
1249,1,1,1,110
1250,1,1,0,79
1251,0,0,1,55
1252,0,1,1,92
1253,1,0,0,35
1254,1,1,0,84
1255,0,0,1,41
1256,1,1,0,87
1257,0,1,1,34
1258,1,1,0,0
1259,1,0,0,48
1260,1,0,0,43
1261,1,0,1,73
1262,1,0,0,56
1263,1,1,0,36
1264,1,1,0,9
1265,1,1,0,46
1266,1,0,0,60
1267,0,1,1,32
1268,1,0,0,64
1269,0,1,1,32
1270,1,0,1,71
1271,1,1,0,90
1272,1,1,0,53
1273,1,0,1,75
1274,1,0,0,43
1275,0,0,1,55
1276,1,0,0,61
1277,1,0,0,37
1278,0,1,1,34
1279,1,0,1,76
1280,1,0,1,85
1281,1,0,0,44
1282,0,0,1,51
1283,0,0,1,55
1284,0,0,1,59
1285,1,1,0,11
1286,1,1,0,41
1287,0,0,1,45
1288,1,1,0,57
1289,1,1,0,23
1290,1,0,0,58
1291,0,0,1,55
1292,0,1,1,104
1293,1,1,0,74
1294,0,0,1,58
1295,1,0,0,39
1296,1,0,0,65
1297,1,0,1,76
1298,0,1,1,86
1299,1,1,0,12
1300,0,1,0,120
1301,0,0,1,55
1302,0,0,1,46
1303,1,0,0,36
1304,1,1,0,54
1305,0,0,1,42
1306,0,1,0,120
1307,1,0,0,35
1308,1,1,1,118
1309,1,0,0,49
1310,1,0,0,44
1311,1,0,1,74
1312,1,0,0,57
1313,1,1,0,74
1314,1,1,0,8
1315,1,1,0,76
1316,1,0,0,61
1317,0,1,1,33
1318,1,0,0,65
1319,0,1,1,33
1320,1,0,1,72
1321,1,1,0,73
1322,1,1,1,109
1323,1,0,1,76
1324,1,0,0,44
1325,0,0,1,56
1326,1,0,0,62
1327,1,0,0,38
1328,1,0,0,35
1329,0,1,1,77
1330,0,1,1,86
1331,1,0,0,45
1332,0,0,1,51
1333,0,0,1,55
1334,0,0,1,59
1335,1,1,0,60
1336,1,1,0,57
1337,0,0,1,45
1338,1,1,0,5
1339,1,1,0,59
1340,0,1,0,59
1341,0,0,1,56
1342,0,0,1,52
1343,1,1,0,27
1344,0,0,1,59
1345,1,0,0,40
1346,1,0,0,66
1347,0,1,1,77
1348,0,0,1,43
1349,1,1,0,62
1350,1,1,0,71
1351,0,0,1,56
1352,0,0,0,94
1353,1,0,0,37
1354,1,1,0,28
1355,1,0,1,85
1356,1,1,0,10
1357,1,0,0,36
1358,1,1,1,99
