"exam_code","year","sitting","document_type","source_repo_path","original_filename","normalized_id","file_ext","size_bytes","has_solutions","has_examiner_report","qa_status","topics","tags","notes","last_attempt_date"
"CB1","2024","September","examiner-report","resources/past-papers/raw/CB1/Sep24/CB1_September 2024_Examiner Report.pdf","CB1_September 2024_Examiner Report.pdf","cb1-2024-september-examiner-report-cb1-september-2024-examiner-report",".pdf","314967","no","yes","pending","","","",""
"CB1","2024","September","question-paper","resources/past-papers/raw/CB1/Sep24/CB1_September 2024_Exam Paper.pdf","CB1_September 2024_Exam Paper.pdf","cb1-2024-september-question-paper-cb1-september-2024-exam-paper",".pdf","169048","no","no","pending","","","",""
"CB1","2025","April","examiner-report","resources/past-papers/raw/CB1/Apr25/CB1_April 2025_Examiners' Report.pdf","CB1_April 2025_Examiners' Report.pdf","cb1-2025-april-examiner-report-cb1-april-2025-examiners-report",".pdf","920405","no","yes","pending","","","",""
"CB1","2025","April","question-paper","resources/past-papers/raw/CB1/Apr25/CB1_April 2025_Exam Paper.pdf","CB1_April 2025_Exam Paper.pdf","cb1-2025-april-question-paper-cb1-april-2025-exam-paper",".pdf","151112","no","no","pending","","","",""
"CB1","2025","September","question-paper","resources/past-papers/raw/CB1/Sep25/CB1_Sept 2025_Exam.pdf","CB1_Sept 2025_Exam.pdf","cb1-2025-september-question-paper-cb1-sept-2025-exam",".pdf","187200","no","no","pending","","","",""
"CB2","2020","September","examiner-report","resources/past-papers/raw/CB2/Sep20/IandF_CB2_202009_Examiners_Report.pdf","IandF_CB2_202009_Examiners_Report.pdf","cb2-2020-september-examiner-report-iandf-cb2-202009-examiners-report",".pdf","70260","no","yes","pending","","","",""
"CB2","2020","September","question-paper","resources/past-papers/raw/CB2/Sep20/IandF_CB2_202009_ExamPaper.pdf","IandF_CB2_202009_ExamPaper.pdf","cb2-2020-september-question-paper-iandf-cb2-202009-exampaper",".pdf","262839","no","no","pending","","","",""
"CB2","2021","April","examiner-report","resources/past-papers/raw/CB2/Apr21/landF_CB2_202104_Examiners_Report.pdf","landF_CB2_202104_Examiners_Report.pdf","cb2-2021-april-examiner-report-landf-cb2-202104-examiners-report",".pdf","62522","no","yes","pending","","","",""
"CB2","2021","April","question-paper","resources/past-papers/raw/CB2/Apr21/CB2_121_EXAM.pdf","CB2_121_EXAM.pdf","cb2-2021-april-question-paper-cb2-121-exam",".pdf","220047","no","no","pending","","","",""
"CB2","2021","September","examiner-report","resources/past-papers/raw/CB2/Sep21/IandF_CB2_202109_Examiner Report.pdf","IandF_CB2_202109_Examiner Report.pdf","cb2-2021-september-examiner-report-iandf-cb2-202109-examiner-report",".pdf","80425","no","yes","pending","","","",""
"CB2","2021","September","question-paper","resources/past-papers/raw/CB2/Sep21/CB2_221_EXAM_Clean Proof.pdf","CB2_221_EXAM_Clean Proof.pdf","cb2-2021-september-question-paper-cb2-221-exam-clean-proof",".pdf","241695","no","no","pending","","","",""
"CB2","2022","April","examiner-report","resources/past-papers/raw/CB2/Apr22/IandF_CB2_202204_Examiner Report.pdf","IandF_CB2_202204_Examiner Report.pdf","cb2-2022-april-examiner-report-iandf-cb2-202204-examiner-report",".pdf","290302","no","yes","pending","","","",""
"CB2","2022","April","question-paper","resources/past-papers/raw/CB2/Apr22/CB2_April22_EXAM_Clean Proof.pdf","CB2_April22_EXAM_Clean Proof.pdf","cb2-2022-april-question-paper-cb2-april22-exam-clean-proof",".pdf","228801","no","no","pending","","","",""
"CB2","2022","September","examiner-report","resources/past-papers/raw/CB2/Sep22/IandF_CB2_202209_Examiner Report.pdf","IandF_CB2_202209_Examiner Report.pdf","cb2-2022-september-examiner-report-iandf-cb2-202209-examiner-report",".pdf","101101","no","yes","pending","","","",""
"CB2","2022","September","question-paper","resources/past-papers/raw/CB2/Sep22/CB2_September22_EXAM.pdf","CB2_September22_EXAM.pdf","cb2-2022-september-question-paper-cb2-september22-exam",".pdf","223059","no","no","pending","","","",""
"CB2","2023","April","examiner-report","resources/past-papers/raw/CB2/Apr23/IandF_CB2_202304_Examiner Report.pdf","IandF_CB2_202304_Examiner Report.pdf","cb2-2023-april-examiner-report-iandf-cb2-202304-examiner-report",".pdf","116760","no","yes","pending","","","",""
"CB2","2023","April","question-paper","resources/past-papers/raw/CB2/Apr23/CB2_April23_EXAM_Clean Proof.pdf","CB2_April23_EXAM_Clean Proof.pdf","cb2-2023-april-question-paper-cb2-april23-exam-clean-proof",".pdf","175334","no","no","pending","","","",""
"CB2","2023","September","examiner-report","resources/past-papers/raw/CB2/Sep23/IandF_CB2_202309_Examiner Report.pdf","IandF_CB2_202309_Examiner Report.pdf","cb2-2023-september-examiner-report-iandf-cb2-202309-examiner-report",".pdf","132246","no","yes","pending","","","",""
"CB2","2023","September","question-paper","resources/past-papers/raw/CB2/Sep23/CB2_September23_EXAM_Clean Proof.pdf","CB2_September23_EXAM_Clean Proof.pdf","cb2-2023-september-question-paper-cb2-september23-exam-clean-proof",".pdf","294160","no","no","pending","","","",""
"CB2","2024","April","examiner-report","resources/past-papers/raw/CB2/Apr24/CB2_April 2024_Examiner Report.pdf","CB2_April 2024_Examiner Report.pdf","cb2-2024-april-examiner-report-cb2-april-2024-examiner-report",".pdf","302897","no","yes","pending","","","",""
"CB2","2024","April","question-paper","resources/past-papers/raw/CB2/Apr24/CB2_April_2024_Exam_Paper.pdf","CB2_April_2024_Exam_Paper.pdf","cb2-2024-april-question-paper-cb2-april-2024-exam-paper",".pdf","214459","no","no","pending","","","",""
"CB2","2024","September","examiner-report","resources/past-papers/raw/CB2/Sep24/CB2_September 2024_Examiner Report.pdf","CB2_September 2024_Examiner Report.pdf","cb2-2024-september-examiner-report-cb2-september-2024-examiner-report",".pdf","317617","no","yes","pending","","","",""
"CB2","2024","September","question-paper","resources/past-papers/raw/CB2/Sep24/CB2_September 2024_Exam Paper.pdf","CB2_September 2024_Exam Paper.pdf","cb2-2024-september-question-paper-cb2-september-2024-exam-paper",".pdf","169879","no","no","pending","","","",""
"CB2","2025","April","examiner-report","resources/past-papers/raw/CB2/Apr25/CB2_April2025_Examiners' Report.pdf","CB2_April2025_Examiners' Report.pdf","cb2-2025-april-examiner-report-cb2-april2025-examiners-report",".pdf","644512","no","yes","pending","","","",""
"CB2","2025","April","question-paper","resources/past-papers/raw/CB2/Apr25/CB2_April2025_Exam Paper.pdf","CB2_April2025_Exam Paper.pdf","cb2-2025-april-question-paper-cb2-april2025-exam-paper",".pdf","227939","no","no","pending","","","",""
"CB2","2025","September","question-paper","resources/past-papers/raw/CB2/Sep25/CB2_Sept_2025_ Exam.pdf","CB2_Sept_2025_ Exam.pdf","cb2-2025-september-question-paper-cb2-sept-2025-exam",".pdf","244507","no","no","pending","","","",""
"CM1","2020","September","examiner-report","resources/past-papers/raw/CM1/CM1A/Sep20/IandF_CM1A_202009_Examiners_Report.pdf","IandF_CM1A_202009_Examiners_Report.pdf","cm1-2020-september-examiner-report-iandf-cm1a-202009-examiners-report",".pdf","219749","no","yes","pending","","","",""
"CM1","2020","September","examiner-report","resources/past-papers/raw/CM1/CM1B/Sep20/IandF_CM1B_202009_Examiners_Report.pdf","IandF_CM1B_202009_Examiners_Report.pdf","cm1-2020-september-examiner-report-iandf-cm1b-202009-examiners-report",".pdf","67813","no","yes","pending","","","",""
"CM1","2020","September","mark-scheme","resources/past-papers/raw/CM1/CM1B/Sep20/IandF_CM1B_202009_Solutions.XLSX","IandF_CM1B_202009_Solutions.XLSX","cm1-2020-september-mark-scheme-iandf-cm1b-202009-solutions",".xlsx","467561","yes","no","pending","","","",""
"CM1","2020","September","mark-scheme","resources/past-papers/raw/CM1/CM1B/Sep20/Sept 2020_CM1B_Answer_Sheet Final 20200226.xlsx","Sept 2020_CM1B_Answer_Sheet Final 20200226.xlsx","cm1-2020-september-mark-scheme-sept-2020-cm1b-answer-sheet-final-20200226",".xlsx","79122","yes","no","pending","","","",""
"CM1","2020","September","question-paper","resources/past-papers/raw/CM1/CM1A/Sep20/IandF_CM1A_202009_ExamPaper.pdf","IandF_CM1A_202009_ExamPaper.pdf","cm1-2020-september-question-paper-iandf-cm1a-202009-exampaper",".pdf","300925","no","no","pending","","","",""
"CM1","2020","September","question-paper","resources/past-papers/raw/CM1/CM1B/Sep20/IandF_CM1B_202009_ExamPaper.pdf","IandF_CM1B_202009_ExamPaper.pdf","cm1-2020-september-question-paper-iandf-cm1b-202009-exampaper",".pdf","223083","no","no","pending","","","",""
"CM1","2021","April","examiner-report","resources/past-papers/raw/CM1/CM1A/Apr21/IandF_CM1_Paper A_202104_Examiners_Report.pdf","IandF_CM1_Paper A_202104_Examiners_Report.pdf","cm1-2021-april-examiner-report-iandf-cm1-paper-a-202104-examiners-report",".pdf","233729","no","yes","pending","","","",""
"CM1","2021","April","examiner-report","resources/past-papers/raw/CM1/CM1B/Apr21/IandF_CM1_Paper B_202104_Examiners_Report.pdf","IandF_CM1_Paper B_202104_Examiners_Report.pdf","cm1-2021-april-examiner-report-iandf-cm1-paper-b-202104-examiners-report",".pdf","47172","no","yes","pending","","","",""
"CM1","2021","April","mark-scheme","resources/past-papers/raw/CM1/CM1B/Apr21/CM1B_121_Solutions.xlsx","CM1B_121_Solutions.xlsx","cm1-2021-april-mark-scheme-cm1b-121-solutions",".xlsx","88759","yes","no","pending","","","",""
"CM1","2021","April","mark-scheme","resources/past-papers/raw/CM1/CM1B/Apr21/CM1B_April 2021_AnswerSheet_Final.xlsx","CM1B_April 2021_AnswerSheet_Final.xlsx","cm1-2021-april-mark-scheme-cm1b-april-2021-answersheet-final",".xlsx","45717","yes","no","pending","","","",""
"CM1","2021","April","question-paper","resources/past-papers/raw/CM1/CM1A/Apr21/CM1A_121_EXAM.pdf","CM1A_121_EXAM.pdf","cm1-2021-april-question-paper-cm1a-121-exam",".pdf","262576","no","no","pending","","","",""
"CM1","2021","April","question-paper","resources/past-papers/raw/CM1/CM1B/Apr21/CM1B_121_EXAM.pdf","CM1B_121_EXAM.pdf","cm1-2021-april-question-paper-cm1b-121-exam",".pdf","147042","no","no","pending","","","",""
"CM1","2021","September","examiner-report","resources/past-papers/raw/CM1/CM1A/Sep21/IandF_CM1_Paper A_202109_Examiner Report.pdf","IandF_CM1_Paper A_202109_Examiner Report.pdf","cm1-2021-september-examiner-report-iandf-cm1-paper-a-202109-examiner-report",".pdf","213311","no","yes","pending","","","",""
"CM1","2021","September","examiner-report","resources/past-papers/raw/CM1/CM1B/Sep21/IandF_CM1_Paper B_202109_Examiner Report.pdf","IandF_CM1_Paper B_202109_Examiner Report.pdf","cm1-2021-september-examiner-report-iandf-cm1-paper-b-202109-examiner-report",".pdf","42775","no","yes","pending","","","",""
"CM1","2021","September","mark-scheme","resources/past-papers/raw/CM1/CM1B/Sep21/CM1B_221_Solution.xlsx","CM1B_221_Solution.xlsx","cm1-2021-september-mark-scheme-cm1b-221-solution",".xlsx","159128","yes","no","pending","","","",""
"CM1","2021","September","question-paper","resources/past-papers/raw/CM1/CM1A/Sep21/CM1A_221_EXAM_Final Clean.pdf","CM1A_221_EXAM_Final Clean.pdf","cm1-2021-september-question-paper-cm1a-221-exam-final-clean",".pdf","529701","no","no","pending","","","",""
"CM1","2021","September","question-paper","resources/past-papers/raw/CM1/CM1B/Sep21/CM1B_221_EXAM_Final Clean Proof.pdf","CM1B_221_EXAM_Final Clean Proof.pdf","cm1-2021-september-question-paper-cm1b-221-exam-final-clean-proof",".pdf","197782","no","no","pending","","","",""
"CM1","2021","September","supplementary-workbook","resources/past-papers/raw/CM1/CM1B/Sep21/CM1B_221_Workbook.xlsx","CM1B_221_Workbook.xlsx","cm1-2021-september-supplementary-workbook-cm1b-221-workbook",".xlsx","47594","no","no","pending","","","",""
"CM1","2022","April","examiner-report","resources/past-papers/raw/CM1/CM1A/Apr22/IandF_CM1_Paper A_202204_Examiner Report.pdf","IandF_CM1_Paper A_202204_Examiner Report.pdf","cm1-2022-april-examiner-report-iandf-cm1-paper-a-202204-examiner-report",".pdf","227357","no","yes","pending","","","",""
"CM1","2022","April","examiner-report","resources/past-papers/raw/CM1/CM1B/Apr22/IandF_CM1_Paper B_202204_Examiner Report.pdf","IandF_CM1_Paper B_202204_Examiner Report.pdf","cm1-2022-april-examiner-report-iandf-cm1-paper-b-202204-examiner-report",".pdf","52000","no","yes","pending","","","",""
"CM1","2022","April","mark-scheme","resources/past-papers/raw/CM1/CM1B/Apr22/CM1B_April2022_ANSWER_SHEET_Final.xlsx","CM1B_April2022_ANSWER_SHEET_Final.xlsx","cm1-2022-april-mark-scheme-cm1b-april2022-answer-sheet-final",".xlsx","50972","yes","no","pending","","","",""
"CM1","2022","April","question-paper","resources/past-papers/raw/CM1/CM1A/Apr22/CM1A_April22_EXAM_Clean Proof.pdf","CM1A_April22_EXAM_Clean Proof.pdf","cm1-2022-april-question-paper-cm1a-april22-exam-clean-proof",".pdf","231226","no","no","pending","","","",""
"CM1","2022","April","question-paper","resources/past-papers/raw/CM1/CM1B/Apr22/CM1B_April22_EXAM_Clean Proof.pdf","CM1B_April22_EXAM_Clean Proof.pdf","cm1-2022-april-question-paper-cm1b-april22-exam-clean-proof",".pdf","174910","no","no","pending","","","",""
"CM1","2022","April","supplementary-workbook","resources/past-papers/raw/CM1/CM1B/Apr22/CM1B_April2022_MS_post_MM v4.xlsx","CM1B_April2022_MS_post_MM v4.xlsx","cm1-2022-april-supplementary-workbook-cm1b-april2022-ms-post-mm-v4",".xlsx","482139","no","no","pending","","","",""
"CM1","2022","September","examiner-report","resources/past-papers/raw/CM1/CM1A/Sep22/IandF_CM1A_202209_Examiner Report.pdf","IandF_CM1A_202209_Examiner Report.pdf","cm1-2022-september-examiner-report-iandf-cm1a-202209-examiner-report",".pdf","316340","no","yes","pending","","","",""
"CM1","2022","September","examiner-report","resources/past-papers/raw/CM1/CM1B/Sep22/IandF_CM1B_202209_Examiner Report.pdf","IandF_CM1B_202209_Examiner Report.pdf","cm1-2022-september-examiner-report-iandf-cm1b-202209-examiner-report",".pdf","72551","no","yes","pending","","","",""
"CM1","2022","September","mark-scheme","resources/past-papers/raw/CM1/CM1B/Sep22/CM1B_Sept22_Answer Sheet_Final.xlsx","CM1B_Sept22_Answer Sheet_Final.xlsx","cm1-2022-september-mark-scheme-cm1b-sept22-answer-sheet-final",".xlsx","34458","yes","no","pending","","","",""
"CM1","2022","September","question-paper","resources/past-papers/raw/CM1/CM1A/Sep22/CM1A_September22_EXAM.pdf","CM1A_September22_EXAM.pdf","cm1-2022-september-question-paper-cm1a-september22-exam",".pdf","240640","no","no","pending","","","",""
"CM1","2022","September","question-paper","resources/past-papers/raw/CM1/CM1B/Sep22/CM1B_September22_EXAM.pdf","CM1B_September22_EXAM.pdf","cm1-2022-september-question-paper-cm1b-september22-exam",".pdf","177983","no","no","pending","","","",""
"CM1","2022","September","supplementary-workbook","resources/past-papers/raw/CM1/CM1B/Sep22/CM1B_Sept22_MS.xlsx","CM1B_Sept22_MS.xlsx","cm1-2022-september-supplementary-workbook-cm1b-sept22-ms",".xlsx","115776","no","no","pending","","","",""
"CM1","2023","April","examiner-report","resources/past-papers/raw/CM1/CM1A/Apr23/IandF_CM1A_202304_Examiner report.pdf","IandF_CM1A_202304_Examiner report.pdf","cm1-2023-april-examiner-report-iandf-cm1a-202304-examiner-report",".pdf","218815","no","yes","pending","","","",""
"CM1","2023","April","examiner-report","resources/past-papers/raw/CM1/CM1B/Apr23/IandF_CM1B_202304_Examiner report.pdf","IandF_CM1B_202304_Examiner report.pdf","cm1-2023-april-examiner-report-iandf-cm1b-202304-examiner-report",".pdf","65826","no","yes","pending","","","",""
"CM1","2023","April","question-paper","resources/past-papers/raw/CM1/CM1A/Apr23/CM1A_April23_EXAM_Clean Proof.pdf","CM1A_April23_EXAM_Clean Proof.pdf","cm1-2023-april-question-paper-cm1a-april23-exam-clean-proof",".pdf","210586","no","no","pending","","","",""
"CM1","2023","April","question-paper","resources/past-papers/raw/CM1/CM1B/Apr23/CM1B_April23_EXAM_Clean Proof.pdf","CM1B_April23_EXAM_Clean Proof.pdf","cm1-2023-april-question-paper-cm1b-april23-exam-clean-proof",".pdf","138081","no","no","pending","","","",""
"CM1","2023","April","supplementary-workbook","resources/past-papers/raw/CM1/CM1B/Apr23/CM1B_April 2023_MS Final.xlsx","CM1B_April 2023_MS Final.xlsx","cm1-2023-april-supplementary-workbook-cm1b-april-2023-ms-final",".xlsx","82624","no","no","pending","","","",""
"CM1","2023","April","supplementary-workbook","resources/past-papers/raw/CM1/CM1B/Apr23/CM1B_April23_Candidate workbook.xlsx","CM1B_April23_Candidate workbook.xlsx","cm1-2023-april-supplementary-workbook-cm1b-april23-candidate-workbook",".xlsx","43920","no","no","pending","","","",""
"CM1","2023","September","examiner-report","resources/past-papers/raw/CM1/CM1A/Sep23/IandF_CM1A_202309_Examiner Report.pdf","IandF_CM1A_202309_Examiner Report.pdf","cm1-2023-september-examiner-report-iandf-cm1a-202309-examiner-report",".pdf","215248","no","yes","pending","","","",""
"CM1","2023","September","examiner-report","resources/past-papers/raw/CM1/CM1B/Sep23/IandF_CM1B_202309_Examiner Report.pdf","IandF_CM1B_202309_Examiner Report.pdf","cm1-2023-september-examiner-report-iandf-cm1b-202309-examiner-report",".pdf","71552","no","yes","pending","","","",""
"CM1","2023","September","mark-scheme","resources/past-papers/raw/CM1/CM1B/Sep23/CM1B_Sept23_Excel_Solution.xlsx","CM1B_Sept23_Excel_Solution.xlsx","cm1-2023-september-mark-scheme-cm1b-sept23-excel-solution",".xlsx","112540","yes","no","pending","","","",""
"CM1","2023","September","question-paper","resources/past-papers/raw/CM1/CM1A/Sep23/CM1A_September23_Clean Proof.pdf","CM1A_September23_Clean Proof.pdf","cm1-2023-september-question-paper-cm1a-september23-clean-proof",".pdf","223040","no","no","pending","","","",""
"CM1","2023","September","question-paper","resources/past-papers/raw/CM1/CM1B/Sep23/CM1B_September23_EXAM_Clean Proof.pdf","CM1B_September23_EXAM_Clean Proof.pdf","cm1-2023-september-question-paper-cm1b-september23-exam-clean-proof",".pdf","196024","no","no","pending","","","",""
"CM1","2023","September","supplementary-workbook","resources/past-papers/raw/CM1/CM1B/Sep23/CM1B_Sept23_Candidate workbook.xlsx","CM1B_Sept23_Candidate workbook.xlsx","cm1-2023-september-supplementary-workbook-cm1b-sept23-candidate-workbook",".xlsx","28467","no","no","pending","","","",""
"CM1","2024","April","examiner-report","resources/past-papers/raw/CM1/CM1A/Apr24/CM1A_April 2024_Examiner Report.pdf","CM1A_April 2024_Examiner Report.pdf","cm1-2024-april-examiner-report-cm1a-april-2024-examiner-report",".pdf","433050","no","yes","pending","","","",""
"CM1","2024","April","examiner-report","resources/past-papers/raw/CM1/CM1B/Apr24/CM1B_April 2024_Examiner Report.pdf","CM1B_April 2024_Examiner Report.pdf","cm1-2024-april-examiner-report-cm1b-april-2024-examiner-report",".pdf","241538","no","yes","pending","","","",""
"CM1","2024","April","mark-scheme","resources/past-papers/raw/CM1/CM1B/Apr24/CM1B_April_2024_Answer_Booklet.xlsx","CM1B_April_2024_Answer_Booklet.xlsx","cm1-2024-april-mark-scheme-cm1b-april-2024-answer-booklet",".xlsx","43928","yes","no","pending","","","",""
"CM1","2024","April","mark-scheme","resources/past-papers/raw/CM1/CM1B/Apr24/CM1B_April_2024_Excel Solution.xlsx","CM1B_April_2024_Excel Solution.xlsx","cm1-2024-april-mark-scheme-cm1b-april-2024-excel-solution",".xlsx","76069","yes","no","pending","","","",""
"CM1","2024","April","question-paper","resources/past-papers/raw/CM1/CM1A/Apr24/CM1A_April_2024_Exam_Paper.pdf","CM1A_April_2024_Exam_Paper.pdf","cm1-2024-april-question-paper-cm1a-april-2024-exam-paper",".pdf","250186","no","no","pending","","","",""
"CM1","2024","April","question-paper","resources/past-papers/raw/CM1/CM1B/Apr24/CM1B_April_2024_Exam_Paper.pdf","CM1B_April_2024_Exam_Paper.pdf","cm1-2024-april-question-paper-cm1b-april-2024-exam-paper",".pdf","179901","no","no","pending","","","",""
"CM1","2024","September","examiner-report","resources/past-papers/raw/CM1/CM1A/Sep24/CM1A_September 2024_Examiner Report.pdf","CM1A_September 2024_Examiner Report.pdf","cm1-2024-september-examiner-report-cm1a-september-2024-examiner-report",".pdf","453902","no","yes","pending","","","",""
"CM1","2024","September","examiner-report","resources/past-papers/raw/CM1/CM1B/Sep24/CM1B_September 2024_Examiner Report.pdf","CM1B_September 2024_Examiner Report.pdf","cm1-2024-september-examiner-report-cm1b-september-2024-examiner-report",".pdf","277696","no","yes","pending","","","",""
"CM1","2024","September","mark-scheme","resources/past-papers/raw/CM1/CM1B/Sep24/CM1B September 2024_Excel Solutions.xlsx","CM1B September 2024_Excel Solutions.xlsx","cm1-2024-september-mark-scheme-cm1b-september-2024-excel-solutions",".xlsx","122601","yes","no","pending","","","",""
"CM1","2024","September","mark-scheme","resources/past-papers/raw/CM1/CM1B/Sep24/CM1B_September 2024_Answer booklet.xlsx","CM1B_September 2024_Answer booklet.xlsx","cm1-2024-september-mark-scheme-cm1b-september-2024-answer-booklet",".xlsx","42017","yes","no","pending","","","",""
"CM1","2024","September","question-paper","resources/past-papers/raw/CM1/CM1A/Sep24/CM1A_September 2024_Exam Paper.pdf","CM1A_September 2024_Exam Paper.pdf","cm1-2024-september-question-paper-cm1a-september-2024-exam-paper",".pdf","208024","no","no","pending","","","",""
"CM1","2024","September","question-paper","resources/past-papers/raw/CM1/CM1B/Sep24/CM1B_September 2024_Exam Paper.pdf","CM1B_September 2024_Exam Paper.pdf","cm1-2024-september-question-paper-cm1b-september-2024-exam-paper",".pdf","156574","no","no","pending","","","",""
"CM1","2025","April","examiner-report","resources/past-papers/raw/CM1/CM1A/Apr25/CM1A_ April2025_Examiners' Report.pdf","CM1A_ April2025_Examiners' Report.pdf","cm1-2025-april-examiner-report-cm1a-april2025-examiners-report",".pdf","1065035","no","yes","pending","","","",""
"CM1","2025","April","examiner-report","resources/past-papers/raw/CM1/CM1B/Apr25/CM1B_April2025_Examiners' Report.pdf","CM1B_April2025_Examiners' Report.pdf","cm1-2025-april-examiner-report-cm1b-april2025-examiners-report",".pdf","715877","no","yes","pending","","","",""
"CM1","2025","April","mark-scheme","resources/past-papers/raw/CM1/CM1B/Apr25/CM1B_April 2025_Answer Booklet.xlsx","CM1B_April 2025_Answer Booklet.xlsx","cm1-2025-april-mark-scheme-cm1b-april-2025-answer-booklet",".xlsx","52480","yes","no","pending","","","",""
"CM1","2025","April","mark-scheme","resources/past-papers/raw/CM1/CM1B/Apr25/CM1B_April 2025_Excel Solutions.xlsx","CM1B_April 2025_Excel Solutions.xlsx","cm1-2025-april-mark-scheme-cm1b-april-2025-excel-solutions",".xlsx","93668","yes","no","pending","","","",""
"CM1","2025","April","question-paper","resources/past-papers/raw/CM1/CM1A/Apr25/CM1A_ April2025_Exam Paper.pdf","CM1A_ April2025_Exam Paper.pdf","cm1-2025-april-question-paper-cm1a-april2025-exam-paper",".pdf","243741","no","no","pending","","","",""
"CM1","2025","April","question-paper","resources/past-papers/raw/CM1/CM1B/Apr25/CM1B_April2025_Exam Paper.pdf","CM1B_April2025_Exam Paper.pdf","cm1-2025-april-question-paper-cm1b-april2025-exam-paper",".pdf","159984","no","no","pending","","","",""
"CM1","2025","September","mark-scheme","resources/past-papers/raw/CM1/CM1B/Sep25/CM1B September Answer Booklet.xlsx","CM1B September Answer Booklet.xlsx","cm1-2025-september-mark-scheme-cm1b-september-answer-booklet",".xlsx","43193","yes","no","pending","","","",""
