day,height
456,65.9
457,24.6
458,50.8
459,16.5
460,32.5
461,84.8
462,25.8
463,43.3
464,11
465,9.6
466,30.6
467,126.5
468,147.2
469,3.3
470,10.6
471,215.2
472,99.4
473,82.3
474,14.2
475,1.7
476,79.9
477,6.2
478,85.4
479,101.2
480,33.1
481,5.1
482,21.4
483,27.4
484,38.7
485,285.7
486,67.3
487,46.9
488,19
489,37.2
490,38.2
491,176
492,77.8
493,33.1
494,9.8
495,57.9
496,25.3
497,43.8
498,150.9
499,14.9
500,47.6
